,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
cis-Resveratrol,0.02130856731937877,0.00702567189905953,0.029990856644986824,0.0028122507686686887,0.016703536867241735,0.030425198176536754,-0.020374814738128424,-0.009443690678167993,-0.0013534205906915165,-0.032684222534384105
N-Benzylformamide,0.016159197057254784,-0.04829098582199567,0.031146793454212073,0.009553957467908382,-0.022344166751266083,-0.02573031850741872,0.0015178517540339947,-0.0042316348542033476,0.01662450507104433,-0.004980585038520874
α-Hydroxyhippuric acid,-0.009083480539200682,0.024319971536732616,-0.007497431788565507,0.013189721217453746,-0.009892872458050572,-0.015554000264357033,-0.04488235199623027,-0.014122722480808363,-0.004128151090974447,0.006984049010068971
α-Methyl-DL-histidine,0.027374752236276282,0.004409844590193121,-0.017532623266759126,-0.0008290351993997674,-0.031141577737491592,-0.0111369259426145,-0.006683828046105131,0.01859597866558734,-0.007895279916580402,-0.011471450314593058
4-Hydroxybenzaldehyde,-0.016114323393527107,0.010655349405258094,-0.011800618760895481,0.035082573873063315,0.017780570642093537,-0.03390725944346295,0.024983030667365673,0.008779469800078417,-0.0183721473440034,0.012861116615710882
"N3,N4-Dimethyl-L-arginine",-0.03842104697459205,0.02490569872130273,0.008270904301632636,0.02397688132407628,-0.022394141468405016,0.00034051457537715346,0.008624007093217615,0.019791621234295946,0.010162690886313316,-0.022999877518642162
(-)-Epigallocatechin,0.0010121601972577447,0.030933629082515398,-0.002359735956796939,-0.004453008456128481,-0.010352129659891499,0.03947916585729154,-0.009632404056717753,-0.01351335680928996,-0.0019254527651961556,0.008688442486369926
"5-morpholino-2,4(1H,3H)-pyrimidinedione",0.008853795654630535,0.008980288544712936,0.012431885320564627,0.003219094698639393,-0.04156438363935815,0.006980395072099186,0.03067294132898063,0.026775291133365364,-0.015850674415305854,-0.01144600377302254
Urocanic acid,0.005137246282626895,0.00620387448645393,-0.020008839177985988,0.04065449394301661,0.022266386626255914,-0.019350978326447856,0.034435774335342215,0.04096738940176392,-0.006649985342711246,-0.0029518749890067356
Biochanin A,-0.018779561366881796,0.01236678585829078,0.002152150554765461,0.03323181068599399,0.028811646736773572,-0.013554650168623854,0.048063759045720224,0.0025217765993395757,0.004491206501050098,-0.05793972140119857
L-Pyroglutamic acid,0.019911771951159986,0.009555846470208181,-0.013491061207777733,0.004452630109914813,0.016091845371887976,-0.011589806557785368,0.0414393608964234,0.007571738599423061,-0.020523622247390714,0.005773016936942928
N8-Acetylspermidine,-0.015589540415707748,0.024030315767005695,0.044737596472230946,-0.0076332179752922735,-0.044590448082032816,0.008729144984835471,0.006059413912717614,0.0014658200681265793,-0.007961909702404487,-0.018098677002553933
Thymine,0.00997833604260779,-0.004041188746504362,0.008452570207403271,0.01505117752859527,0.04661783779814133,0.004248735071945125,0.02617265829730601,0.03357605018975567,-0.03521120952025699,0.032469471130585716
D-(+)-Proline,-0.014526958071903974,0.013112001466992622,-0.021924171710095326,0.031100235179323418,0.007848934526407792,-0.01468245002659345,0.01858711845460729,0.04606782402304411,-0.008714285425496337,0.015322878914268888
"2-Amino-1,3-octadecanediol",0.027132639287894205,0.017247554439000695,0.03166700503780206,-0.020896323477491645,0.0370520217957221,-0.007577725140723182,-0.03624688776946782,0.0021542660152678497,0.032682211540383206,0.023755129266664753
Piperine,0.0032158823045226478,-0.004800279929508776,0.0465813590147936,-0.00996674842722336,-0.02669243007108359,-0.0021569192530967274,0.017394519468874145,-0.04812049579191974,0.01988093494385421,0.010756028882433537
Methionine sulfoxide,0.00902974238180645,0.007925288718539276,-0.0075085438273350446,0.021964175199940237,0.01681958665015483,-0.024015888484638554,0.019095684834752245,0.004613626663639667,-0.032840256299979255,0.010250592688867783
4-Guanidinobutyric acid,0.015478653343916838,0.010592300309058732,0.023496876111575957,0.01720887489487954,0.016092715888533785,-0.00528027234396205,-0.005394540286244435,0.007636610605197491,-0.006688908963184965,-0.002215764203652
3-(3-methylbut-2-en-1-yl)-3H-purin-6-amine,0.027374458275763073,0.004164387313438379,-0.01187939115021497,-0.0017268605472019868,-0.02498301283516624,-0.010595470585143027,0.009190513114115869,0.017588997861490818,-0.013274562274629318,0.020778664044108063
(R)-Equol,0.03052833423691737,-0.004566616506565315,-0.016739882895371736,-0.007068386958719661,-0.02731583208097814,0.018736162928411612,-0.005518774878424628,-0.001103004112341652,-0.001955615557580269,0.031052658904287433
"2-Amino-1,3,4-octadecanetriol",0.003178282889725468,0.01674784438637393,0.04280166771005102,-0.010785458198785982,0.024075854480648785,0.0016978803795858913,-0.035488576975168606,-0.011037394813978139,0.022144892896931213,0.020448713158046927
Caffeine,0.030685221863584,0.02289627518603474,-0.008604176353126903,-0.019635391200963557,-0.01612783941894523,0.013234811532877233,0.003515567830976699,-0.045954453915715794,0.0053686349898825125,-0.0066330443464106305
Tryptamine,-0.03208087452466912,0.007033021262365084,-0.02455052938400419,0.0033199653285475223,-0.0007163700508095609,-0.006124460826665523,-0.0023717577100536343,-0.01791655725216185,0.008286442807894704,0.008957337661440669
Carvone,0.03391594512300819,0.004216613814057839,0.002464412682244168,-0.01621169777263309,0.018130536799669947,-0.006180492553347565,-0.006269440734706897,-0.007598809997990248,-0.0011887111496745645,0.012317158747536862
Folinic acid,0.0020603645772901817,0.019063078717940395,-0.00012318612575858167,0.01755531424581139,-0.008573522705626758,-0.004989072006446071,-0.012512223380104815,-0.02416770938213348,0.006161589185133991,-0.010935256452529204
